이름,속성,사용률,등급,버전,기간
각청,번개,1.0,5,5.7, 2025-07-16
각청,번개,0.9,5,5.6, 2025-06-16
각청,번개,1.6,5,5.6, 2025-05-16
각청,번개,1.4,5,5.5, 2025-04-16
각청,번개,3.5,5,5.4, 2025-03-16
각청,번개,2.0,5,5.4, 2025-02-16
각청,번개,1.7,5,5.3, 2025-01-16
각청,번개,2.6,5,5.2, 2024-12-16
각청,번개,3.8,5,5.1, 2024-11-16
각청,번개,3.4,5,5.1, 2024-10-16
각청,번개,2.7,5,5.0, 2024-09-16
각청,번개,2.4,5,4.8, 2024-08-16
각청,번개,3.4,5,4.7, 2024-07-16
각청,번개,3.8,5,4.7, 2024-06-16
각청,번개,3.5,5,4.6, 2024-05-16
각청,번개,2.8,5,4.6, 2024-05-01
각청,번개,4.6,5,4.5, 2024-04-01
각청,번개,3.8,5,4.5, 2024-03-16
각청,번개,4.5,5,4.4, 2024-02-16
각청,번개,4.0,5,4.4, 2024-02-01
각청,번개,3.3,5,4.3, 2024-01-16
각청,번개,3.0,5,4.3, 2024-01-01
각청,번개,5.4,5,4.2, 2023-12-01
각청,번개,4.2,5,4.2, 2023-11-16
각청,번개,2.3,5,4.1, 2023-10-16
각청,번개,2.4,5,4.1, 2023-10-01
각청,번개,4.6,5,4.0, 2023-09-16
각청,번개,4.0,5,4.0, 2023-09-01
각청,번개,3.9,5,3.8, 2023-08-01
각청,번개,4.0,5,3.8, 2023-07-16
각청,번개,4.8,5,3.7, 2023-07-01
각청,번개,4.8,5,3.7, 2023-06-16
각청,번개,4.7,5,3.7, 2023-06-01
각청,번개,4.9,5,3.6, 2023-05-16
각청,번개,5.1,5,3.6, 2023-04-16
각청,번개,4.9,5,3.5, 2023-04-01
각청,번개,5.2,5,3.5, 2023-03-16
각청,번개,5.9,5,3.4, 2023-02-16
각청,번개,7.9,5,3.4, 2023-02-01
각청,번개,7.6,5,3.4, 2023-01-16
각청,번개,7.6,5,3.3, 2023-01-01
각청,번개,9.7,5,3.3, 2022-12-16
각청,번개,9.1,5,3.2, 2022-12-01
각청,번개,8.3,5,3.2, 2022-11-16
각청,번개,12.2,5,3.2, 2022-11-01
각청,번개,7.9,5,3.1, 2022-10-16
각청,번개,8.2,5,3.1, 2022-10-01
각청,번개,5.2,5,3.0, 2022-09-16
각청,번개,3.8,5,3.0, 2022-09-01
감우,얼음,12.9,5,5.7, 2025-07-16
감우,얼음,19.1,5,5.6, 2025-06-16
감우,얼음,7.1,5,5.6, 2025-05-16
감우,얼음,7.3,5,5.5, 2025-04-16
감우,얼음,4.6,5,5.4, 2025-03-16
감우,얼음,15.9,5,5.4, 2025-02-16
감우,얼음,10.3,5,5.3, 2025-01-16
감우,얼음,3.3,5,5.2, 2024-12-16
감우,얼음,6.5,5,5.1, 2024-11-16
감우,얼음,3.0,5,5.1, 2024-10-16
감우,얼음,3.0,5,5.0, 2024-09-16
감우,얼음,4.3,5,4.8, 2024-08-16
감우,얼음,4.0,5,4.7, 2024-07-16
감우,얼음,3.5,5,4.7, 2024-06-16
감우,얼음,3.7,5,4.6, 2024-05-16
감우,얼음,3.2,5,4.6, 2024-05-01
감우,얼음,4.3,5,4.5, 2024-04-01
감우,얼음,4.1,5,4.5, 2024-03-16
감우,얼음,9.9,5,4.4, 2024-02-16
감우,얼음,10.7,5,4.4, 2024-02-01
감우,얼음,4.8,5,4.3, 2024-01-16
감우,얼음,4.6,5,4.3, 2024-01-01
감우,얼음,4.0,5,4.2, 2023-12-01
감우,얼음,2.7,5,4.2, 2023-11-16
감우,얼음,8.4,5,4.1, 2023-10-16
감우,얼음,9.3,5,4.1, 2023-10-01
감우,얼음,6.1,5,4.0, 2023-09-16
감우,얼음,6.0,5,4.0, 2023-09-01
감우,얼음,12.1,5,3.8, 2023-08-01
감우,얼음,8.9,5,3.8, 2023-07-16
감우,얼음,9.7,5,3.7, 2023-07-01
감우,얼음,10.3,5,3.7, 2023-06-16
감우,얼음,12.2,5,3.7, 2023-06-01
감우,얼음,9.6,5,3.6, 2023-05-16
감우,얼음,10.4,5,3.6, 2023-04-16
감우,얼음,16.7,5,3.5, 2023-04-01
감우,얼음,19.7,5,3.5, 2023-03-16
감우,얼음,11.7,5,3.4, 2023-02-16
감우,얼음,15.6,5,3.4, 2023-02-01
감우,얼음,28.6,5,3.4, 2023-01-16
감우,얼음,25.5,5,3.3, 2023-01-01
감우,얼음,27.1,5,3.3, 2022-12-16
감우,얼음,31.9,5,3.2, 2022-12-01
감우,얼음,37.4,5,3.2, 2022-11-16
감우,얼음,33.2,5,3.2, 2022-11-01
감우,얼음,32.7,5,3.1, 2022-10-16
감우,얼음,36.4,5,3.1, 2022-10-01
감우,얼음,37.0,5,3.0, 2022-09-16
감우,얼음,31.5,5,3.0, 2022-09-01
나비아,바위,5.3,5,5.7, 2025-07-16
나비아,바위,6.4,5,5.6, 2025-06-16
나비아,바위,7.2,5,5.6, 2025-05-16
나비아,바위,28.7,5,5.5, 2025-04-16
나비아,바위,7.7,5,5.4, 2025-03-16
나비아,바위,6.2,5,5.4, 2025-02-16
나비아,바위,7.8,5,5.3, 2025-01-16
나비아,바위,24.4,5,5.2, 2024-12-16
나비아,바위,21.5,5,5.1, 2024-11-16
나비아,바위,57.6,5,5.1, 2024-10-16
나비아,바위,22.7,5,5.0, 2024-09-16
나비아,바위,67.2,5,4.8, 2024-08-16
나비아,바위,13.0,5,4.7, 2024-07-16
나비아,바위,9.3,5,4.7, 2024-06-16
나비아,바위,18.5,5,4.6, 2024-05-16
나비아,바위,19.1,5,4.6, 2024-05-01
나비아,바위,48.3,5,4.5, 2024-04-01
나비아,바위,47.3,5,4.5, 2024-03-16
나비아,바위,17.0,5,4.4, 2024-02-16
나비아,바위,18.3,5,4.4, 2024-02-01
나비아,바위,50.8,5,4.3, 2024-01-16
나비아,바위,53.0,5,4.3, 2024-01-01
나히다,풀,6.5,5,5.7, 2025-07-16
나히다,풀,10.0,5,5.6, 2025-06-16
나히다,풀,34.5,5,5.6, 2025-05-16
나히다,풀,28.4,5,5.5, 2025-04-16
나히다,풀,32.2,5,5.4, 2025-03-16
나히다,풀,27.0,5,5.4, 2025-02-16
나히다,풀,30.6,5,5.3, 2025-01-16
나히다,풀,51.5,5,5.2, 2024-12-16
나히다,풀,55.4,5,5.1, 2024-11-16
나히다,풀,41.4,5,5.1, 2024-10-16
나히다,풀,58.2,5,5.0, 2024-09-16
나히다,풀,45.9,5,4.8, 2024-08-16
나히다,풀,62.0,5,4.7, 2024-07-16
나히다,풀,67.7,5,4.7, 2024-06-16
나히다,풀,56.8,5,4.6, 2024-05-16
나히다,풀,59.7,5,4.6, 2024-05-01
나히다,풀,57.3,5,4.5, 2024-04-01
나히다,풀,59.6,5,4.5, 2024-03-16
나히다,풀,71.2,5,4.4, 2024-02-16
나히다,풀,71.8,5,4.4, 2024-02-01
나히다,풀,71.6,5,4.3, 2024-01-16
나히다,풀,75.2,5,4.3, 2024-01-01
나히다,풀,70.1,5,4.2, 2023-12-01
나히다,풀,69.4,5,4.2, 2023-11-16
나히다,풀,78.2,5,4.1, 2023-10-16
나히다,풀,83.1,5,4.1, 2023-10-01
나히다,풀,77.8,5,4.0, 2023-09-16
나히다,풀,78.3,5,4.0, 2023-09-01
나히다,풀,90.2,5,3.8, 2023-08-01
나히다,풀,91.2,5,3.8, 2023-07-16
나히다,풀,98.8,5,3.7, 2023-07-01
나히다,풀,98.8,5,3.7, 2023-06-16
나히다,풀,97.8,5,3.7, 2023-06-01
나히다,풀,92.7,5,3.6, 2023-05-16
나히다,풀,87.0,5,3.6, 2023-04-16
나히다,풀,74.7,5,3.5, 2023-04-01
나히다,풀,82.1,5,3.5, 2023-03-16
나히다,풀,85.6,5,3.4, 2023-02-16
나히다,풀,88.3,5,3.4, 2023-02-01
나히다,풀,76.3,5,3.4, 2023-01-16
나히다,풀,71.7,5,3.3, 2023-01-01
